"TRANSECT","01/01/1855 12:00:01 AM","01/01/1867 12:00:01 AM","08/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","11/24/1933 12:00:01 AM","05/12/1951 12:00:01 AM","04/18/1974 12:00:01 AM","12/29/2002 12:00:01 AM","11/25/2003 12:00:01 AM","03/01/2006 12:00:01 AM"
169,NA,-5.0000090864366,NA,NA,-17.9832976614754,-35.7204213659168,-21.6313108523596,-27.1869709968377,NA,NA
170,NA,-5.130366540486,NA,-48.8113674202687,-22.810868204438,-38.5793509852716,-33.7000813863348,-25.8651228135107,NA,NA
171,NA,-5.0988978820264,-9.2809762694946,NA,-25.4727315920976,-36.9025888135703,-33.1702633202591,-25.3873926430225,NA,NA
172,NA,-18.8709065238384,-6.5974975645175,NA,-41.835172035791,-52.6127657813382,-45.6987031936282,-23.0911722617253,NA,NA
173,NA,-32.6845118058227,-5.1091523856521,NA,-51.6808530338349,-52.7146327037342,-59.7670591071263,-56.1801485669597,NA,NA
174,NA,-66.6264861071988,-5.0021353279274,NA,-59.0551248667888,-51.1141754660778,-65.5484254913959,-67.4370731381139,NA,NA
175,NA,-70.2768598471498,-5.0000172168212,NA,-49.7282755348117,-40.0029305658237,-55.4344727713557,-62.4308200396404,NA,NA
176,NA,-69.0016297954127,-5.0182281933214,NA,-45.5426832380639,-29.5722721527244,-35.2617578119554,-53.88697321487,NA,NA
177,-67.8705712992203,-67.8596716646876,-5.0130903709115,NA,-41.9180085663297,-30.6308919247591,-30.1403954349421,-60.9891475847063,NA,NA
178,-50.5687603371629,-64.2137226869058,-5.0415476262433,NA,-51.704008011667,-33.8379612956254,-41.7731843352234,-66.8121957427824,NA,NA
179,-34.5268607811653,-51.4962962628138,-5.2749550897518,NA,-43.871424671326,-25.2357578518815,-38.7694509709505,-55.1625331731019,NA,NA
180,-26.7151244107462,-51.4627861609456,-5.3134980627786,NA,-39.4411791457456,-33.1600227265104,-45.4847837695478,-56.1075346516178,NA,NA
